SampleID,Condition
GSM6765206,0
GSM6765207,0
GSM6765208,0
GSM6765209,1
GSM6765210,1
GSM6765211,1
GSM6765212,1
GSM6765213,1
GSM6765214,1
GSM6765215,1
GSM6765225,1
GSM6765240,1
GSM6765254,0
GSM6765268,0
GSM6765281,0
GSM6765294,1
GSM6765307,1
GSM6765321,1
GSM6765335,1
GSM6765349,1
GSM6765363,1
GSM6765379,1
GSM6765393,1
GSM6765408,1
