"","RowNames","Y_Data"
"1","WDR54",NA
"2","TSPAN9",NA
"3","POLA2",NA
"4","CLCA4",NA
"5","CYP24A1",NA
"6","RNASET2",NA
"7","KITLG",NA
"8","FNIP2",NA
"9","MPC1",NA
"10","RPL18",-0.735479554
"11","ATP2C2",NA
"12","NTHL1",NA
"13","OAT",NA
"14","WDR18",-0.88261974
"15","MCM10",NA
"16","COL17A1",NA
"17","YBX1",-0.568648554
"18","ASPM",NA
"19","PABPC1",-0.808711689
"20","TESK2",NA
"21","TRIP13",NA
"22","ATP6AP1",-0.80560565
"23","SMC1A",NA
"24","HMMR",NA
"25","XRCC1",NA
"26","SCARB1",NA
"27","DHRS9",0.813428848
"28","LMAN1",NA
"29","SEMA3C",-0.933941953
"30","WDR62",NA
"31","REXO2",-0.819709018
"32","FBLN1",NA
"33","EDN1",NA
"34","NDC80",NA
"35","HAL",NA
"36","PIGS",NA
"37","PSMC5",-0.728107409
"38","TFAP2C",NA
"39","AURKA",NA
"40","TPX2",NA
"41","SLC15A1",NA
"42","BIRC5",NA
"43","KIF4A",NA
"44","NAT14",NA
"45","TMEM101",NA
"46","CCDC80",NA
"47","PSME1",-0.842716556
"48","MYL6",-0.539585217
"49","CDC23",NA
"50","TECR",1.087898567
"51","POLR2F",NA
"52","TIMP3",NA
"53","AP1B1",NA
"54","MCM5",NA
"55","SYNGR1",NA
"56","ACO2",NA
"57","CDKN3",NA
"58","DAAM1",NA
"59","HIF1A",-0.731376026
"60","PSME2",0.712589603
"61","MYBL2",NA
"62","TM9SF4",NA
"63","IDH3B",NA
"64","GDPD3",NA
"65","MT4",NA
"66","COTL1",-0.84495222
"67","QPRT",NA
"68","VPS35L",NA
"69","CTSH",NA
"70","CEMIP",NA
"71","TGM5",NA
"72","NUCB1",-0.786796571
"73","OLFM2",NA
"74","CNFN",-0.44006594
"75","TMEM205",1.552113094
"76","WDR83OS",-0.513934122
"77","DLX5",NA
"78","GSDME",NA
"79","CHCHD2",-0.882623767
"80","PSMA2",-0.756325268
"81","MAP3K8",NA
"82","DKK1",NA
"83","KRT23",-0.500621271
"84","RUNDC3A",NA
"85","MTMR4",NA
"86","DHX40",NA
"87","BLMH",NA
"88","HDAC5",NA
"89","INPP4B",NA
"90","GAB1",NA
"91","NCAPG",NA
"92","CRYAB",2.221630317
"93","COMMD9",NA
"94","CD81",NA
"95","FOXM1",NA
"96","COPZ1",-0.764822696
"97","C12orf57",0.828724143
"98","COX6A1",-0.951151592
"99","PPARD",-0.597876661
"100","GMNN",NA
"101","COX7A2",-0.613332318
"102","KIF20A",NA
"103","RBP1",NA
"104","BCHE",NA
"105","C3orf14",NA
"106","IL1A",NA
"107","NCL",-0.448131853
"108","PPP1R7",NA
"109","RND3",-0.490510096
"110","ATP5PB",-0.96673609
"111","NCF2",NA
"112","RGS2",NA
"113","MYCL",NA
"114","SIPA1L2",NA
"115","CDC20",-0.97984735
"116","ABCD3",NA
"117","STMN1",NA
"118","CENPF",NA
"119","NRP2",NA
"120","SGK1",0.731181521
"121","ARG1",NA
"122","C1orf198",NA
"123","LTBP2",NA
"124","MSX2",NA
"125","ARL4A",NA
"126","PFDN5",NA
"127","HJURP",NA
"128","MCEE",NA
"129","RPS10",NA
"130","MT2A",-0.81736184
"131","TNFSF9",NA
"132","TGM3",NA
"133","MGME1",-0.812199169
"134","ERGIC3",NA
"135","DLGAP5",NA
"136","BCL11B",NA
"137","HAT1",NA
"138","CD68",-0.685628674
"139","MPDU1",NA
"140","SLC44A2",NA
"141","RPS4Y1",-0.888278302
"142","FAM155B",NA
"143","TNNI2",NA
"144","CHMP2A",NA
"145","TMEM160",NA
"146","ACSS2",-0.882918562
"147","COX4I1",-0.483317457
