Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	129	35.43956043956044	8.513910199215035E-6	TES, GOLT1A, DOCK11, RASSF3, FTH1, FPGS, TRIM27, SYNPO, PDE8A, PPFIA4, FBXO9, KRT8, HUS1, KLHL42, MYL5, DGKQ, DDIT4, HSBP1L1, ULK2, UPRT, TRIB3, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, EIF5A2, HELZ2, HRH1, ATXN7, DVL1, TNRC18, RHPN2, RAB6B, RAB11FIP3, PCK2, VASP, MOAP1, XBP1, PHETA2, SMAD4, SRMS, ATP8B2, GFPT1, EIF2AK2, SPART, CCDC88A, AGO4, NOXA1, CAPRIN2, SPIRE1, CORO7, MAP3K11, USP35, DOCK9, CEP164, SLC2A1, HCCS, LIMD1, LARP1B, CDC73, LIMD2, WDR44, UCHL1, PPP3CC, IMPA1, RASGEF1A, AIFM2, SNAPC2, UBE2Q2, CASP3, DGCR8, MAN1A1, C19ORF12, LRRFIP1, NINL, ABCD1, KLF12, VPS9D1, PARP4, SPHK2, ARHGEF16, TRAF2, ARFGAP3, RENBP, VAV2, PTP4A2, SLC7A5, CREB3, PITPNM1, GAN, TRAF5, IRF5, SYNC, PAFAH1B2, TRIM56, RNF34, TRIM16L, DENND3, MTHFD1L, CBS, TRIM47, WHAMM, ANKRD52, SH2B3, PDLIM7, SNCA, KDM4B, FKRP, CDC42BPG, TXNRD1, GSR, SPRY4, DDHD2, CDC42BPB, PLEKHA8, KLF8, KLHL9, ITCH, NOL4L, SPRY2, KRAS, TACC1, CAMK1, PKN1, SEC24D, SIPA1, TNRC6A	337	5627	20647	1.4045585638129852	0.0029839343931141737	0.0029883824799244773	0.0029713546595260473
GOTERM_CC_DIRECT	GO:0016020~membrane	88	24.175824175824175	1.2409065947694193E-4	ANKRD13B, TMEM200B, DOCK9, GOLT1A, LPCAT1, SLC2A1, SNX10, HCCS, SLC2A3, VLDLR, SLC4A2, CELSR1, PEAR1, PKD1, TMEM263, PRSS21, MRC2, STBD1, FLVCR1, MAN1A1, CLCC1, ABCD1, SLFN12L, ABCC3, SLC38A1, PARP4, SPHK2, CSGALNACT2, ARFGAP3, LEMD2, FRS3, SLC7A5, CREB3, PITPNM1, CERS2, TLCD5, SMIM24, KDM3A, RGS19, LRP1, CBFB, SDC3, ADCY4, ADCY3, SLC1A4, ITPRIPL2, PCNX3, HELZ2, APH1B, MTHFD1L, GPAT4, FAM241B, SNCA, CD276, TM4SF19, SLC37A1, ACE, CMTM4, IQSEC1, PLEKHA2, TPBG, TNK1, SPRY4, DDHD2, EIF2AK2, LHFPL2, CDC42BPB, ATP2B1, TMCO3, DLK2, PLEKHA8, VEGFA, CCDC88A, ITCH, SLC6A9, P4HA1, ABHD17A, AGO4, TSPAN17, UST, SPRY2, KRAS, EPPK1, TACC1, CORO7, MAP3K11, SIPA1, CDS2	337	3677	20647	1.4662772596354434	0.04262347718175907	0.02177791073820331	0.021653820078726366
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	23	6.318681318681318	0.0022440054609174373	FKRP, GALNT4, GOLT1A, FUT11, CSGALNACT2, LPCAT1, SLC2A1, ARFGAP3, FUT2, PKD1, PLEKHA8, CREB3, APH1B, MAN2A2, UST, KRAS, MAN1A1, CORO7, WHAMM, CLCC1, RAB6B, RAB11FIP3, CHST3	337	691	20647	2.0392799323218833	0.5454880085843756	0.26254863892734015	0.2610526352867285
GOTERM_CC_DIRECT	GO:0031463~Cul3-RING ubiquitin ligase complex	5	1.3736263736263736	0.0032874012825877853	KLHL9, GAN, ENC1, LZTR1, KLHL42	337	38	20647	8.06145556770264	0.6851876861817084	0.26776800894088065	0.26624226530019185
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	12	3.296703296703297	0.003814359101721946	ABCC3, SLC7A5, SLC38A1, LRP1, SLC6A9, CLDN7, SLC2A1, EPPK1, SLC4A2, ATP2B1, RAB17, PKD1	337	261	20647	2.8168764282547154	0.7385206496545084	0.26776800894088065	0.26624226530019185
GOTERM_CC_DIRECT	GO:0012505~endomembrane system	9	2.4725274725274726	0.007296058644937849	NRBP2, RNF34, ATP8B2, DOCK9, BIK, RAB17, LZTR1, GDPD5, RAB6B	337	172	20647	3.205834655993375	0.9234877618088075	0.4268194307288642	0.4243874111805515
GOTERM_CC_DIRECT	GO:0016328~lateral plasma membrane	6	1.6483516483516485	0.008880105976896695	SLC6A9, CLDN7, DVL1, DSG2, ATP2B1, PKD1	337	78	20647	4.712850947272313	0.9563188646078352	0.44527388541296287	0.44273671227670663
GOTERM_CC_DIRECT	GO:0005634~nucleus	120	32.967032967032964	0.011079639625097552	TES, SMC5, ZDBF2, RASSF1, RASSF3, ZMIZ2, FTH1, SCMH1, TRIM27, SYNPO, CDKL2, ZNF284, ZNF282, ZNF160, KRT8, HUS1, SAP30, OVOL2, MOB3C, DGKQ, ZNF319, HSBP1L1, HOXB2, TRIB3, NEIL1, BCORL1, KCTD15, ZNF397, L3MBTL1, ZNF275, PXK, CBFB, CTBP2, CTBP1, EIF5A2, MED30, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF664, PLK3, XBP1, SMAD4, EIF2AK2, MEX3D, SMARCA1, ZNF37A, AGO4, BHLHE40, ZNF416, ZNF778, RBAK, RCOR1, MUS81, USP35, ZNF251, CHD7, SNX10, LIMD1, PKD1, LARP1B, CDC73, ZNF805, AIFM2, SNAPC2, ZC3H7B, UBE2Q2, CASP3, ENC1, SPEG, DGCR8, LRRFIP1, ACADS, EID2B, TGIF1, CERS5, PARP4, KLF13, SPHK2, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, ZNF514, IRF5, JDP2, KDM7A, CERS2, LAMA5, KDM3A, RNF34, LRP1, PPM1M, MLLT6, PDLIM2, CBS, TRIM47, ANKRD52, ZNF224, ZNF587, SNCA, KDM4B, PLEKHA2, BNIP3, WTIP, VEGFA, SHLD2, RPA4, SPRY2, ZNF337, TACC1, CAMK1, BCOR, PKN1, SIPA1, ZFP28, ZNF354B	337	6100	20647	1.205253684876198	0.9799726828170398	0.48574492266272784	0.4829771453256183
GOTERM_CC_DIRECT	GO:0030496~midbody	9	2.4725274725274726	0.012454998016993022	KLHL9, SPART, RALB, PITPNM1, KATNAL1, SLC2A1, TACC1, PKN1, RAB11FIP3	337	189	20647	2.917479157835241	0.9877123093457545	0.48574492266272784	0.4829771453256183
GOTERM_CC_DIRECT	GO:0005874~microtubule	12	3.296703296703297	0.019968861395434703	SHTN1, EML5, RASSF1, RASSF3, KATNAL1, KIFC2, DVL1, KIF12, WHAMM, NINL, MID2, MAP3K11	337	331	20647	2.2211623799833258	0.9991582249503407	0.7009070349797581	0.6969132627006711
