Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_DIRECT,GO:0005515,protein binding,197,79.75708502,1.59E-07,"SLC35B2, TESK2, ABCA12, AQP3, CDC20, MT2A, CDC23, STMN1, RPS10, WDR83OS, AP1B1, JMJD8, DKK1, SCAMP2, LCE2B, DHX40, INPP4B, MYL6, DAAM1, RBP1, PSME1, PSME2, KIF20A, SPATA18, FLG, CDCA5, NCAPG, WDR62, LYPD5, MTMR4, HIF1A, SKA1, C12ORF57, SYNGR1, COMMD9, NTHL1, BTF3, BCL11B, PLK2, TMEM50B, IFI44, XRCC1, CGN, CNFN, IL1F10, TPX2, POLA2, TCN1, RAET1L, CALM3, GSDME, SLC44A5, PIGS, NRP2, COX7B, SLC44A3, CITED2, NCAPG2, TECR, QPRT, KRT23, KIF11, SPPL3, MCEE, GLIPR1, CTSK, TIMP3, CTSH, DLGAP5, CEP55, ZNF365, EDN1, MIOS, ARG1, KIAA1143, GAB1, RHOB, HADHB, IL1A, MRPS9, TUBB2A, PSMA2, UFC1, KIF2C, PABPC1, SGK1, ERGIC3, CRYAB, PPARD, SPRR3, NBAS, OAT, TMEM160, TM9SF4, PSMB6, LMAN1, NT5E, OS9, PPP1R7, EMC7, RPL18, XDH, BCHE, ATP5PB, WDR18, GRHL1, CENPF, PSMC5, KITLG, NUCB1, TRIP13, CD68, CDKN3, SCARB1, NCF2, CD81, GMNN, HJURP, BUB1B, COX6A1, C1ORF74, RGS2, CHCHD2, SESN3, MPC1, COTL1, MAP3K8, TGM5, MSX2, FST, RUNDC3A, OLFM2, NCL, HAT1, SNRPF, PHLDB2, COL17A1, CEMIP, NDUFB11, FBLN1, COX7A2, LTBP2, HMMR, DDX60, ADIPOR1, CCNB2, CCNB1, MYG1, MPDU1, FANCI, TFAP2C, CBX4, NDC80, COQ3, TMEM237, KIF4A, CHMP2A, BLMH, ABCD3, HSPB8, COX4I1, MCM10, YBX1, FOXM1, RND3, OASL, TMEM101, MYBL2, ATP6AP1, SMC1A, TENT5B, CCNA2, ARL4A, BIRC5, MCM5, PFDN5, HDAC5, TUFT1, DCTN3, ATP2C2, THBS1, AURKA, MIEN1, VPS51, TMEM205, TNNI2, GBP2, FNIP2, POLR2K, MGME1, SSRP1, SORL1, RAB13, EIF3H, PFKM, SSBP3, VPS35L",241,12657,18967,1.224946293,7.25E-05,7.25E-05,7.25E-05
GOTERM_MF_DIRECT,GO:0008017,microtubule binding,11,4.453441296,0.002523893,"TPX2, CENPF, KIF4A, BIRC5, KIF2C, KIF20A, KIF11, CGN, CRYAB, SKA1, DLGAP5",241,272,18967,3.18277093,0.684903744,0.489150695,0.489150695
GOTERM_MF_DIRECT,GO:0015220,choline transmembrane transporter activity,3,1.214574899,0.003211055,"SLC44A5, SLC44A3, SLC44A2",241,7,18967,33.72910492,0.770031555,0.489150695,0.489150695
GOTERM_MF_DIRECT,GO:0001968,fibronectin binding,4,1.619433198,0.007570749,"CCDC80, CTSK, FBLN1, THBS1",241,32,18967,9.837655602,0.968976044,0.864958088,0.864958088
GOTERM_MF_DIRECT,GO:0008022,protein C-terminus binding,8,3.238866397,0.011315912,"CDC20, CENPF, NCF2, NCL, FBLN1, LMO7, PABPC1, PFKM",241,192,18967,3.279218534,0.994488143,1,1
GOTERM_MF_DIRECT,GO:0030169,low-density lipoprotein particle binding,3,1.214574899,0.021349959,"SCARB1, THBS1, SORL1",241,18,18967,13.11687414,0.999947913,1,1
GOTERM_MF_DIRECT,GO:0001540,beta-amyloid binding,5,2.024291498,0.024596947,"SCARB1, BCHE, CRYAB, PFDN5, SORL1",241,87,18967,4.523060047,0.999988594,1,1
GOTERM_MF_DIRECT,GO:0016887,ATPase activity,12,4.858299595,0.025776391,"DHX40, PSMC5, ABCD3, DQX1, KIF2C, MCM5, KIF20A, TRIP13, ATP2C2, DDX60, SMC1A, ABCA12",241,443,18967,2.131862162,0.999993439,1,1
GOTERM_MF_DIRECT,GO:0004129,cytochrome-c oxidase activity,3,1.214574899,0.026078724,"COX7B, COX4I1, COX6A1",241,20,18967,11.80518672,0.999994306,1,1
GOTERM_MF_DIRECT,GO:0019901,protein kinase binding,13,5.263157895,0.034161736,"AP1B1, KIF11, FOXM1, ADIPOR1, RND3, HIF1A, RHOB, AURKA, CCNA2, TPX2, CCNB1, CALM3, KIF20A",241,521,18967,1.963754669,0.999999874,1,1
GOTERM_MF_DIRECT,GO:0003777,microtubule motor activity,4,1.619433198,0.040406663,"KIF4A, KIF2C, KIF20A, KIF11",241,60,18967,5.246749654,0.999999993,1,1
GOTERM_MF_DIRECT,GO:0070051,fibrinogen binding,2,0.809716599,0.061693129,"FBLN1, THBS1",241,5,18967,31.48049793,1,1,1
GOTERM_MF_DIRECT,GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,3,1.214574899,0.061702316,"CCNA2, CCNB2, CCNB1",241,32,18967,7.378241701,1,1,1
GOTERM_MF_DIRECT,GO:0030234,enzyme regulator activity,3,1.214574899,0.075866056,"PPP1R7, CALM3, COX6A1",241,36,18967,6.558437068,1,1,1
GOTERM_MF_DIRECT,GO:0008234,cysteine-type peptidase activity,3,1.214574899,0.083297028,"CTSK, CTSH, BLMH",241,38,18967,6.213256169,1,1,1
