"GENE ONTOLOGY (BP,CC,MF)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Go_Result_of_396_Exclusively_Upregulated_Genes,,,,,,,,,Go_Result_of_407_Exclusively_Downregulated_Genes,,,,,,,,,,,,,,,
category,ID,term,count,genes,logFC,adj_pval,zscore,,category,ID,term,count,genes,logFC,adj_pval,zscore,,Category,Term,Count,PValue,Genes,Fold Enrichment,FDR
MF,GO:0031267,small GTPase binding,17,"VPS9D1, SPHK2, ARHGEF16, CDC42BPB, WDR44, DOCK11, INF2, RASSF3, NOXA1, DVL1, WHAMM, PKN1, LZTR1, RAB11FIP2, RAB11FIP3, MAP3K11, CDC42SE2",0.018554871,7.31E-05,3.265072807,,CC,GO:0005576,extracellular region,57,"NRP2, YBX1, AADACL2, CTSK, LIPN, COTL1, TIMP3, CTSH, B2M, RPTN, EPHB3, EDN1, SERPINB2, ARG1, RNASET2, FST, OVCH2, PDCD1LG2, DKK1, TMPRSS11F, CES4A, IL1A, OLFM2, CCDC80, PSG4, PSMA2, CFD, COL17A1, PMEL, CEMIP, SEMA3C, PSMD13, TUFT1, FBLN1, LTBP2, THBS2, LYPD5, THBS1, HSP90B1, PSORS1C2, DPP4, COMMD9, PDZD2, LY6G6C, CLCA4, BCHE, CDSN, KLK13, ISG15, EEF2, IL1F10, KITLG, TCN1, RAET1L, NUCB1, CALM3, HPSE",0.13248451,2.02E-05,1.425151854,,,,,,,,
MF,GO:0042802,identical protein binding,52,"FAAH, TLNRD1, SLC2A1, RASSF1, IMPA1, RASSF3, FTH1, DGCR8, TRIM27, ABCD1, EID2B, SUN2, VPS9D1, TRAF2, FRS3, RENBP, MID2, KCTD9, ANO1, SHTN1, CREB3, KATNAL1, TRAF5, CLDN7, IRF5, KCTD11, PAFAH1B2, KCTD15, L3MBTL1, CTBP2, SDC4, CTBP1, SDC3, CBS, DVL1, RAB11FIP2, RAB11FIP3, SNCA, XBP1, SMAD4, FKRP, TXNRD1, BNIP3, EIF2AK2, EPOR, DLK2, VEGFA, BMP1, P4HA1, NOXA1, KRAS, MAP3K11",0.018554871,1.03E-04,1.737418791,,CC,GO:0005739,mitochondrion,39,"COX7B, ABCD3, OAT, NDUFA11, SLC44A2, NDUFB11, MAOA, COX4I1, HJURP, TYMS, COX6A1, MRPL11, PSMB6, CHCHD2, RGS2, MPC1, NTHL1, IDH3B, CKB, DLGAP5, FIS1, MGME1, TFAP2C, ATP5PB, SDHD, REXO2, MRPL21, VASN, HADHB, NUDT9, COQ3, MRPS9, CYP24A1, HAT1, NDUFS3, ACO2, SGK1, SPATA18, CRYAB",0.264615866,7.78E-05,1.468642164,,,,,,,,
MF,GO:0046872,metal ion binding,71,"MUS81, TES, ZNF251, HCCS, LIMD1, LIMD2, PPP3CC, IMPA1, ZNF805, RASSF3, ZC3H7B, FPGS, DZIP1L, DGCR8, TRIM27, PDE8A, TNS1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, CSGALNACT2, TRAF2, CGRRF1, ARFGAP3, VAV2, SAP30, OVOL2, ANO1, MOB3C, PITPNM1, DGKQ, ZNF319, ZNF514, KDM7A, TRIM56, ZNF397, ZNF275, RNF34, ADCY4, ADCY3, CRIP2, MLLT6, HELZ2, PDLIM2, MAN2A2, DEAF1, CBS, ZKSCAN2, ZNF587, ZNF224, ZNF664, PDLIM7, PCK2, KDM4B, SMAD4, FKRP, ACE, DDHD2, ATP2B1, WTIP, MEX3D, KLF8, ZNF37A, CAPRIN2, ZNF416, ZNF778, ZNF337, ZFP28, ZNF354B",0.039830983,2.96E-04,1.512382345,,CC,GO:0005829,cytosol,155,"NCF2, GMNN, CTNND1, HJURP, BUB1B, ABCA12, IFIT1, CDC20, RGS2, MT2A, CDC23, LAMP1, STMN1, COTL1, MAP3K8, RPL39, B2M, RPS10, PPFIA3, RPTN, EPHB3, KRT4, MSX2, C17ORF49, AP1B1, LMO7, RUNDC3A, KRT9, INPP4B, MYL6, DAAM1, RBP1, PSME1, GEMIN4, PSME2, SNRPF, PHLDB2, FLG, MAOA, PSMD13, CDCA5, C1ORF198, NCAPG, HMMR, WDR62, RPS4Y1, DDX60, MTMR4, SKA3, HIF1A, SKA1, HSP90B1, CCNB2, CCNB1, COMMD9, PDZD2, SERF2, SPRR2D, FANCI, BTF3, FIS1, CDT1, RPL41, TFAP2C, UBE2C, PLK2, ISG15, EEF2, NDC80, TPX2, POLA2, HAL, DIAPH3, KIF4A, CHMP2A, CALM3, BLMH, ACO2, COPS8, GSDME, ABCD3, MCM7, CITED2, COX4I1, HSPB8, QPRT, KRT24, CLTB, KRT23, YBX1, KIF11, RND3, OASL, CTSH, MYBL2, DLGAP5, ZNF385A, MIOS, ARG1, CKAP2L, GAB1, COMMD1, SMC1A, COPZ1, RHOB, CCNA2, IL1A, ARL4A, SAPCD2, PSMA2, PELI1, BIRC5, MCM5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, NBAS, ACSS2, ATF6B, NXN, RAB1B, DCTN3, ADD3, TYMS, AURKA, PSMB6, NT5E, MIEN1, RASSF10, VPS51, VPS52, POLR2F, TNNI2, CKB, GBP2, RPL18, FNIP2, XDH, BUB1, POLR2K, RRM2, CENPF, PSMC5, NLRP10, PRC1, KRT15, RAB13, EIF3H, PFKM, CDKN3",1.12E-06,1.76E-04,1.520688069,,,,,,,,
MF,GO:0003714,transcription corepressor activity,12,"CTBP2, DEAF1, CTBP1, HSBP1L1, TRIB3, BCOR, LIMD1, WTIP, BCORL1, EID2B, RCOR1, SAP30",0.080972917,8.37E-04,3.411944594,,CC,GO:0070062,extracellular exosome,66,"SCARB1, SLC44A2, CD81, QPRT, CTNND1, KRT24, YBX1, LAMP1, STMN1, COTL1, CTSH, CHP1, GET3, B2M, TGM3, ATP6AP1, RNASET2, HLA-A, RHOB, KRT9, HLA-E, SCAMP2, TOM1L2, SCNN1G, MYL6, TUBB2A, PSMA2, SCNN1B, NCL, UFC1, GEMIN4, PSME1, PSME2, PABPC1, CDH16, CRYAB, CFD, SPRR3, PMEL, SEMA3C, RAB1B, FBLN1, GDPD3, LTBP2, THBS1, HSP90B1, DPP4, PSMB6, LMAN1, NT5E, PPP1R7, CKB, GPR155, EEF2, SORL1, VASN, NUDT9, PSMC5, NACA, KRT15, RAB13, CHMP2A, NUCB1, EIF3H, BLMH, COPS8",0.004348849,2.09E-04,1.626601891,,,,,,,,
MF,GO:0003779,actin binding,16,"VASP, PXK, ACE, TLNRD1, CCDC88A, INF2, PDLIM2, ENC1, SPIRE1, CORO7, WHAMM, SYNPO, PDLIM7, DBN1, TNS1, SNCA",0.080972917,9.03E-04,2.713593362,,CC,GO:0005813,centrosome,18,"CKAP2L, PLK2, DCTN3, WDR62, HMMR, SKA3, NDC80, AURKA, CDC20, ASPM, CCNB2, CENPF, CCNB1, CALM3, KIF2C, SAC3D1, CEP55, ZNF365",0.442691285,4.91E-04,1.725183824,,,,,,,,
MF,GO:0005085,guanyl-nucleotide exchange factor activity,12,"DOCK11, CCDC88A, VPS9D1, RASGEF1A, IQSEC1, DOCK9, SH2D3A, ARHGEF16, DENND3, DENND6A, ARFGEF3, VAV2",0.203783037,0.002651452,2.949308039,,CC,GO:0005743,mitochondrial inner membrane,18,"COX7B, NDUFA11, ATP5PB, NDUFB11, COX4I1, TMEM160, SDHD, TYMS, COX6A1, MRPL21, MRPL11, HADHB, COQ3, COQ2, MRPS9, CYP24A1, MPC1, NDUFS3",0.184081955,5.18E-04,2.011550369,,,,,,,,
MF,GO:0004842,ubiquitin-protein transferase activity,12,"KLHL9, ITCH, UBE2Q2, TSPAN17, TRIM47, TRAF2, BCOR, TRIM27, TRIM11, TRIM56, KLHL42, FBXO9",0.285917679,0.004251564,2.773054571,,CC,GO:0005765,lysosomal membrane,15,"SCARB1, MIOS, ATP6AP1, SLC44A2, AP1B1, HLA-A, VASN, DPP4, LAMP1, CHMP2A, HPSE, CD68, FNIP2, GPR155, B2M",0.264615866,9.56E-04,2.044662309,,,,,,,,
MF,GO:0042803,protein homodimerization activity,24,"ZNF397, PHETA2, XBP1, SMAD4, BNIP3, MID2, VEGFA, ANO1, CREB3, CCDC88A, MTHFD1L, IMPA1, CBS, NACC2, BHLHE40, DGCR8, TRIM27, LRRFIP1, RAB11FIP2, ABCD1, RAB11FIP3, JDP2, MAP3K11, PAFAH1B2",0.308338912,0.005313277,1.858575961,,CC,GO:0005694,chromosome,11,"MYCL, MCM7, PRC1, NCL, PPP1R7, KIF4A, CDCA5, MCM5, TRIP13, SSRP1, SMC1A",0.288770344,0.001124053,2.344651374,,,,,,,,
MF,GO:0001227,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding",14,"TGIF1, KLF12, ZNF282, OVOL2, KLF8, MNT, DEAF1, NACC2, BHLHE40, ZNF778, ZNF337, LRRFIP1, ZNF224, JDP2",0.308338912,0.005731207,2.409622592,,CC,GO:1904813,ficolin-1-rich granule lumen,7,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",0.353516544,0.003917909,3.091529412,,,,,,,,
MF,GO:0000978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,33,"ZNF397, ZNF275, ZNF251, CHD7, MNT, ZNF805, NACC2, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, ZNF587, TGIF1, XBP1, KLF12, SMAD4, KLF13, ZNF284, ZNF160, OVOL2, KLF8, CREB3, ZNF37A, ZNF319, BHLHE40, ZNF416, ZNF514, HOXB2, IRF5, RBAK, JDP2, ZFP28, ZNF354B",0.579624161,0.011851052,1.566367363,,CC,GO:0032588,trans-Golgi network membrane,6,"SCAMP4, VPS51, VPS52, AP1B1, ATP2C2, SCAMP2",0.541003304,0.00491784,3.095656954,,,,,,,,
MF,GO:0000981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",34,"ZNF397, ZNF275, ZNF251, MNT, ZNF805, DEAF1, NACC2, ZKSCAN2, LRRFIP1, ZNF664, ZNF587, TGIF1, XBP1, KLF12, SMAD4, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, KLF8, CREB3, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF514, HOXB2, IRF5, ZNF337, RBAK, JDP2, ZFP28, ZNF354B",0.605075146,0.013963779,1.533517866,,CC,GO:0045171,intercellular bridge,6,"TPX2, TUBB2A, PRC1, KIF20A, SKA1, CEP55",0.447626004,0.005631333,3.312352941,,,,,,,,
MF,GO:0031625,ubiquitin protein ligase binding,12,"SPART, MOAP1, MFHAS1, UCHL1, XBP1, RNF34, RALB, PDLIM2, CBS, TRAF5, TRIB3, TRAF2",0.748194992,0.020860455,2.209640309,,CC,GO:0034774,secretory granule lumen,7,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",0.280921758,0.008813401,3.331389452,,,,,,,,
MF,GO:0005524,ATP binding,38,"PXK, CHD7, ADCY4, ADCY3, KIF12, SMC5, RSKR, HELZ2, NRBP2, MTHFD1L, UBE2Q2, FPGS, SPEG, ABCD1, ATP9A, PDK1, ABCC3, CDKL2, PLK3, SRMS, ATP8B2, SPHK2, CDC42BPG, TNK1, EIF2AK2, CDC42BPB, ATP2B1, SMARCA1, RENBP, KATNAL1, KIFC2, DGKQ, ULK2, KRAS, TRIB3, PKN1, CAMK1, MAP3K11",0.756004328,0.023888613,1.432174274,,CC,GO:0015630,microtubule cytoskeleton,12,"CCNB2, TPX2, TUBB2A, CKAP2L, PRC1, BIRC5, CHP1, KIF2C, HMMR, CRYAB, SKA1, AURKA",0.030536244,0.009059962,3.362794864,,,,,,,,
,,,,,,,,,CC,GO:0034451,centriolar satellite,8,"MIEN1, PDZD2, WDR62, FNIP2, SKA1, DLGAP5, CEP55, ZNF365",0.186575005,0.009814377,3.371351594,,,,,,,,
,,,,,,,,,CC,GO:0055038,recycling endosome membrane,7,"SCAMP4, RAB13, HLA-A, B2M, SORL1, SCAMP2, HLA-E",0.267918224,0.01587381,3.41983342,,,,,,,,
,,,,,,,,,CC,GO:0030176,integral component of endoplasmic reticulum membrane,8,"BSCL2, SLC35B2, WDR83OS, DHRS9, ATF6B, TECR, EMC7, ERGIC3",0.184081955,0.015983509,3.423620611,,,,,,,,
,,,,,,,,,CC,GO:0072686,mitotic spindle,9,"TPX2, TUBB2A, CKAP2L, WDR62, KIF11, SKA3, SKA1, DLGAP5, AURKA",0.12212636,0.01678235,3.426572008,,,,,,,,
,,,,,,,,,CC,GO:0030496,midbody,13,"DCTN3, CTNND1, SHCBP1, AURKA, HSP90B1, ASPM, CENPF, PRC1, KIF4A, CHMP2A, BIRC5, KIF20A, CEP55",0.007880336,0.01808914,3.797230003,,,,,,,,
,,,,,,,,,CC,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,6,"LMAN1, ATP6AP1, RAB1B, ERGIC3, SPPL3, ROBO1",0.278822262,0.018853809,3.943277311,,,,,,,,
,,,,,,,,,CC,GO:0000922,spindle pole,11,"CDC20, TPX2, CENPF, CCNB1, RASSF10, CKAP2L, PRC1, PLK2, CALM3, WDR62, KIF11",0.008503218,0.020026579,4.400468883,,,,,,,,
,,,,,,,,,CC,GO:0045111,intermediate filament cytoskeleton,5,"KRT80, KRT4, DDX60, PFDN5, PHLDB2",0.305764321,0.021889168,4.678464606,,,,,,,,
,,,,,,,,,CC,GO:0000794,condensed nuclear chromosome,4,"NCAPG2, NCAPG, SMC1A, ADD3",0.466981803,0.026098537,5.385939742,,,,,,,,
,,,,,,,,,CC,GO:0000776,kinetochore,16,"CDT1, PLK2, DCTN3, HJURP, BUB1B, SMC1A, SKA3, NDC80, SKA1, AURKA, CDC20, CENPF, CHMP2A, BIRC5, KIF2C, BUB1",3.94E-05,0.033672268,5.452432825,,,,,,,,
,,,,,,,,,CC,GO:0005819,spindle,15,"DCTN3, BUB1B, KIF11, HMMR, SHCBP1, AURKA, CDC20, ASPM, TPX2, CENPF, PRC1, BIRC5, KIF2C, KIF20A, SAC3D1",6.19E-05,0.035049016,5.557639163,,,,,,,,
,,,,,,,,,CC,GO:0000502,proteasome complex,6,"PSMB6, PSMC5, PSMA2, PSMD13, PSME1, PSME2",0.103017962,0.037609273,5.710953347,,,,,,,,
,,,,,,,,,CC,GO:0000775,"chromosome, centromeric region",7,"CENPF, CDCA5, HJURP, BIRC5, KIF2C, SMC1A, NDC80",0.033496766,0.044781034,5.945248869,,,,,,,,
,,,,,,,,,MF,GO:0005515,protein binding,297,"SLC35B2, MT1M, TESK2, MT1X, ABCA12, IFIT1, AQP3, CDC20, SCAMP4, MT2A, CDC23, RASSF5, GJA5, STMN1, B2M, RPS10, EPHB3, WDR83OS, KRT4, C17ORF49, AP1B1, HLA-A, OVOL1, JMJD8, DKK1, HLA-E, SCAMP2, LCE2B, DHX40, INPP4B, MYL6, CLDN4, DAAM1, RBP1, PSME1, MT1F, PSME2, MT1H, KIF20A, SPATA18, MT1E, FLG, SMIM5, MAOA, CDCA5, NOLC1, NCAPG, WDR62, LYPD5, MTMR4, SKA3, HIF1A, SKA1, MRPL11, C12ORF57, SYNGR1, COMMD9, NTHL1, BTF3, CDT1, FIS1, RPL41, BCL11B, TPRG1, PLK2, TMEM50B, IFI44, XRCC1, CGN, CNFN, VASN, IL1F10, TPX2, POLA2, TBL3, TCN1, ID4, RAET1L, CALM3, GSDME, SLC44A5, PIGS, NRP2, COX7B, SLC44A3, CITED2, NCAPG2, TECR, QPRT, KRT24, CLTB, ZBTB8OS, KRT23, KIF11, SPPL3, ROBO1, MCEE, GLIPR1, CTSK, MMP28, PBK, TIMP3, CTSH, DLGAP5, CEP55, ZNF365, EDN1, ZHX3, MIOS, ARG1, KIAA1143, GAB1, COMMD1, PDCD1LG2, RHOB, HADHB, BACE2, MN1, IL1A, MRPS9, TUBB2A, PSMA2, UFC1, PELI1, KIF2C, PABPC1, SGK1, CRELD2, ERGIC3, CRYAB, PPARD, SPRR3, NBAS, OAT, STX19, TMEM160, TM9SF4, PSMB6, LMAN1, NT5E, OS9, RASSF10, PPP1R7, CKB, LY6G6C, EMC7, RPL18, XDH, BCHE, ATP5PB, WDR18, KLK13, GRHL1, NUDT9, CENPF, PSMC5, KITLG, KRT15, NUCB1, TRIP13, CD68, CDKN3, SCARB1, NDUFA11, NCF2, CD81, GMNN, CTNND1, HJURP, BUB1B, COX6A1, C1ORF74, IPO4, RGS2, CHCHD2, SESN3, LAMP1, MPC1, COTL1, CHP1, MAP3K8, TGM5, PPFIA3, MSX2, FST, SLC30A1, SDHD, RUNDC3A, BSCL2, SCNN1G, TOM1L2, OLFM2, NCL, SCNN1B, HAT1, GEMIN4, SNRPF, PHLDB2, COL17A1, PMEL, CEMIP, NDUFB11, USP54, FBLN1, COX7A2, LTBP2, HMMR, DDX60, ADIPOR1, GLIS1, HSP90B1, PSORS1C2, DPP4, CCNB2, CCNB1, EIF4EBP3, SAC3D1, MFAP3L, MPDU1, FANCI, TFAP2C, CBX4, UBE2C, ISG15, EEF2, NDC80, COQ3, MAFB, TMEM237, KIF4A, CHMP2A, BLMH, HPSE, COPS8, ABCD3, MCM7, HSPB8, COX4I1, MCM10, YBX1, FOXM1, RND3, OASL, TMEM101, EXO1, MYBL2, GET3, ATP6AP1, NAV2, SMC1A, TENT5B, CCNA2, ARL4A, SAPCD2, NDUFS3, BIRC5, MCM5, NAA38, CDH16, PFDN5, HDAC5, KRT80, ATF6B, TUFT1, RAB1B, DCTN3, ATP2C2, THBS2, THBS1, AURKA, MIEN1, VPS51, TMEM205, VPS52, TNNI2, GBP2, BUB1, FNIP2, POLR2K, SEC11C, SEMA4A, MGME1, SLC35A4, RRM2, PRAF2, NAP1L1, SSRP1, SHCBP1, SORL1, WEE1, PRC1, RAB13, CDK2AP2, EIF3H, PFKM, SSBP3, VPS35L",5.33E-07,9.41E-10,1.212713603,,,,,,,,
,,,,,,,,,MF,GO:0019901,protein kinase binding,17,"CTNND1, AP1B1, KIF11, FOXM1, EEF2, ADIPOR1, RND3, HIF1A, RHOB, AURKA, CCNA2, TOM1L2, TPX2, CCNB1, PRC1, CALM3, KIF20A",1,0.046928614,1.686334705,,,,,,,,
,,,,,,,,,MF,GO:0016887,ATPase activity,17,"ABCD3, MCM7, DQX1, NAV2, ATP2C2, ABCA12, DDX60, SMC1A, HSP90B1, DHX40, PSMC5, NLRP10, MCM5, KIF2C, KIF20A, TRIP13, GET3",1,0.012408927,1.983251425,,,,,,,,
,,,,,,,,,MF,GO:0003735,structural constituent of ribosome,9,"MRPS9, RPL41, ISG15, RPS4Y1, RPL18, RPL39, RPS10, MRPL21, MRPL11",1,0.031528578,2.44805679,,,,,,,,
,,,,,,,,,MF,GO:0008017,microtubule binding,13,"KIF11, CGN, SKA1, TPX2, CENPF, PRC1, KIF4A, BIRC5, CHP1, KIF2C, KIF20A, CRYAB, DLGAP5",1,0.006786788,2.470057301,,,,,,,,
,,,,,,,,,MF,GO:0005198,structural molecule activity,12,"FLG, SPRR3, CLDN4, PSMD13, KRT15, DCTN3, KRT24, CLTB, KRT23, CRYAB, TGM3, KRT9",0.421342016,0.001486215,3.180381471,,,,,,,,
,,,,,,,,,MF,GO:0009055,electron carrier activity,5,"NCF2, NDUFS3, IDH3B, COX7A2, SDHD",1,0.04429781,3.745014414,,,,,,,,
,,,,,,,,,MF,GO:0001968,fibronectin binding,4,"CCDC80, CTSK, FBLN1, THBS1",1,0.023376138,6.460149864,,,,,,,,
