Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	130	35.32608695652174	6.971392738196272E-6	TES, GOLT1A, DOCK11, RASSF3, FTH1, FPGS, TRIM27, SYNPO, PDE8A, PPFIA4, FBXO9, KRT8, HUS1, KLHL42, MYL5, DGKQ, DDIT4, HSBP1L1, ULK2, UPRT, TRIB3, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, EIF5A2, HELZ2, HRH1, ATXN7, DVL1, TNRC18, RHPN2, RAB6B, RAB11FIP3, PCK2, VASP, MOAP1, XBP1, PHETA2, SMAD4, SRMS, ATP8B2, GFPT1, EIF2AK2, SPART, CCDC88A, AGO4, NOXA1, CAPRIN2, SPIRE1, CORO7, MAP3K11, USP35, DOCK9, CEP164, SLC2A1, HCCS, LIMD1, LARP1B, CDC73, LIMD2, WDR44, UCHL1, PPP3CC, IMPA1, RASGEF1A, AIFM2, SNAPC2, UBE2Q2, CASP3, DGCR8, MAN1A1, C19ORF12, LRRFIP1, NINL, ABCD1, KLF12, VPS9D1, PARP4, SPHK2, ARHGEF16, TRAF2, ARFGAP3, RENBP, VAV2, PTP4A2, SLC7A5, CREB3, PITPNM1, GAN, TRAF5, IRF5, SYNC, PAFAH1B2, TRIM56, RNF34, TRIM16L, DENND3, MTHFD1L, CBS, TRIM47, WHAMM, ANKRD52, SH2B3, PDLIM7, SNCA, KDM4B, FKRP, CDC42BPG, TXNRD1, GSR, SPRY4, DDHD2, CDC42BPB, PLEKHA8, KLF8, KLHL9, GARS1, ITCH, NOL4L, SPRY2, KRAS, TACC1, CAMK1, PKN1, SEC24D, SIPA1, TNRC6A	339	5629	20660	1.4074815889690506	0.0024857013979731057	0.002488787207536069	0.0024748444220596766
GOTERM_CC_DIRECT	GO:0016020~membrane	89	24.184782608695652	1.0582218721380985E-4	ANKRD13B, TMEM200B, DOCK9, GOLT1A, LPCAT1, SLC2A1, SNX10, HCCS, SLC2A3, VLDLR, SLC4A2, CELSR1, PEAR1, PKD1, TMEM263, PRSS21, MRC2, STBD1, FLVCR1, MAN1A1, CLCC1, ABCD1, SLFN12L, ABCC3, SLC38A1, PARP4, SPHK2, CSGALNACT2, ARFGAP3, HSPG2, LEMD2, FRS3, SLC7A5, CREB3, PITPNM1, CERS2, TLCD5, SMIM24, KDM3A, RGS19, LRP1, CBFB, SDC3, ADCY4, ADCY3, SLC1A4, ITPRIPL2, PCNX3, HELZ2, APH1B, MTHFD1L, GPAT4, FAM241B, SNCA, CD276, TM4SF19, SLC37A1, ACE, CMTM4, IQSEC1, PLEKHA2, TPBG, TNK1, SPRY4, DDHD2, EIF2AK2, LHFPL2, CDC42BPB, ATP2B1, TMCO3, DLK2, PLEKHA8, VEGFA, CCDC88A, ITCH, SLC6A9, P4HA1, ABHD17A, AGO4, TSPAN17, UST, SPRY2, KRAS, EPPK1, TACC1, CORO7, MAP3K11, SIPA1, CDS2	339	3693	20660	1.4687278092093228	0.03707573956686783	0.018889260417665057	0.018783438230451248
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	23	6.25	0.002391435766675316	FKRP, GALNT4, GOLT1A, FUT11, CSGALNACT2, LPCAT1, SLC2A1, ARFGAP3, FUT2, PKD1, PLEKHA8, CREB3, APH1B, MAN2A2, UST, KRAS, MAN1A1, CORO7, WHAMM, CLCC1, RAB6B, RAB11FIP3, CHST3	339	691	20660	2.0285252018151625	0.57461687025392	0.2841946204098147	0.2826024936848297
GOTERM_CC_DIRECT	GO:0031463~Cul3-RING ubiquitin ligase complex	5	1.358695652173913	0.0033504002260855243	KLHL9, GAN, ENC1, LZTR1, KLHL42	339	38	20660	8.018941158205248	0.6982332956734901	0.2841946204098147	0.2826024936848297
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	12	3.260869565217391	0.00398031681246239	ABCC3, SLC7A5, SLC38A1, LRP1, SLC6A9, CLDN7, SLC2A1, EPPK1, SLC4A2, ATP2B1, RAB17, PKD1	339	261	20660	2.802020818499305	0.7592048218900401	0.2841946204098147	0.2826024936848297
GOTERM_CC_DIRECT	GO:0012505~endomembrane system	9	2.4456521739130435	0.007789275481393315	NRBP2, RNF34, ATP8B2, DOCK9, BIK, RAB17, LZTR1, GDPD5, RAB6B	339	173	20660	3.1704946544580284	0.9386805389142393	0.40489342424461594	0.4026251137446461
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	116	31.521739130434785	0.009002667428472009	ANKRD13B, DYNC2I1, TES, SMC5, ALDH1L2, PTPDC1, NRBP2, RASSF1, RASSF3, CFL2, FTH1, FPGS, DZIP1L, TRIM27, PPFIA4, FBXO9, TNS1, CDKL2, KRT8, FRS3, MID2, MYL5, SHTN1, EML5, MOB3C, KATNAL1, DGKQ, DDIT4, ULK2, UPRT, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, HELZ2, DEAF1, VASP, MOAP1, PLK3, XBP1, SMAD4, SRMS, TNK1, EIF2AK2, TDRD7, SPART, MFHAS1, CCDC88A, AGO4, BHLHE40, CAPRIN2, CDC42SE2, KIF12, ADM, LIMD1, PKD1, PRSS21, UCHL1, PPP3CC, IMPA1, AIFM2, CASP3, ENC1, DGCR8, LRRFIP1, ABCD1, PARP4, SPHK2, VAV2, ANO1, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, PITPNM1, GAN, TRAF5, IRF5, DBN1, PAFAH1B2, TRIM56, KDM3A, RNF34, TP53I13, TRIM16L, ADCY4, ADCY3, CBS, WHAMM, MICA, SNCA, CCDC57, PLEKHA2, CDC42BPG, TXNRD1, BNIP3, SPRY4, DDHD2, CDC42BPB, SPATA2L, PLEKHA8, VEGFA, GARS1, ITCH, DBNDD2, SPRY2, PTPN9, KRAS, EPPK1, TACC1, PKN1, SIPA1	339	5796	20660	1.2197202424212812	0.960383388341557	0.40489342424461594	0.4026251137446461
GOTERM_CC_DIRECT	GO:0016328~lateral plasma membrane	6	1.6304347826086956	0.009073241999879349	SLC6A9, CLDN7, DVL1, DSG2, ATP2B1, PKD1	339	78	20660	4.687996369412298	0.9613779404012905	0.40489342424461594	0.4026251137446461
GOTERM_CC_DIRECT	GO:0030496~midbody	9	2.4456521739130435	0.012976014286375298	KLHL9, SPART, RALB, PITPNM1, KATNAL1, SLC2A1, TACC1, PKN1, RAB11FIP3	339	189	20660	2.9020929905885655	0.9905595812493869	0.48631741368886766	0.4835929463852885
GOTERM_CC_DIRECT	GO:0005634~nucleus	120	32.608695652173914	0.013622336517895451	TES, SMC5, ZDBF2, RASSF1, RASSF3, ZMIZ2, FTH1, SCMH1, TRIM27, SYNPO, CDKL2, ZNF284, ZNF282, ZNF160, KRT8, HUS1, SAP30, OVOL2, MOB3C, DGKQ, ZNF319, HSBP1L1, HOXB2, TRIB3, NEIL1, BCORL1, KCTD15, ZNF397, L3MBTL1, ZNF275, PXK, CBFB, CTBP2, CTBP1, EIF5A2, MED30, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF664, PLK3, XBP1, SMAD4, EIF2AK2, MEX3D, SMARCA1, ZNF37A, AGO4, BHLHE40, ZNF416, ZNF778, RBAK, RCOR1, MUS81, USP35, ZNF251, CHD7, SNX10, LIMD1, PKD1, LARP1B, CDC73, ZNF805, AIFM2, SNAPC2, ZC3H7B, UBE2Q2, CASP3, ENC1, SPEG, DGCR8, LRRFIP1, ACADS, EID2B, TGIF1, CERS5, PARP4, KLF13, SPHK2, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, ZNF514, IRF5, JDP2, KDM7A, CERS2, LAMA5, KDM3A, RNF34, LRP1, PPM1M, MLLT6, PDLIM2, CBS, TRIM47, ANKRD52, ZNF224, ZNF587, SNCA, KDM4B, PLEKHA2, BNIP3, WTIP, VEGFA, SHLD2, RPA4, SPRY2, ZNF337, TACC1, CAMK1, BCOR, PKN1, SIPA1, ZFP28, ZNF354B	339	6106	20660	1.197719347573401	0.9925280700869002	0.48631741368886766	0.4835929463852885
